idd_cus_customer,first_name,last_name,gender,city,segment,d_created,country,d_birth_date,age_years,age_group
100046,Marta,Kreicbergs,F,Ogre,Retail,2015-09-01,LV,1974-05-23,51,45-54
100047,Elina,Ozolins,F,Jurmala,Retail,2019-03-20,LV,1975-11-21,50,45-54
100048,Roberts,Upenieks,M,Riga,SME,2022-06-13,LV,1989-02-20,36,35-44
100049,Marta,Krastins,F,Jurmala,Retail,2022-06-23,LV,1943-11-06,82,65+
100050,Ilze,Kalejs,F,Cesis,Retail,2023-12-01,LV,1941-09-24,84,65+
100051,Andris,Berzins,M,Cesis,Corporate,2023-11-23,LV,1945-04-06,80,65+
100052,Elina,Berzins,F,Jurmala,Retail,2025-05-17,LV,1993-08-13,32,25-34
100053,Karlis,Berzins,M,Ogre,Retail,2017-09-13,LV,1943-05-21,82,65+
100054,Aleksandrs,Ozolins,M,Riga,Retail,2021-03-11,LV,1993-12-18,32,25-34
100055,Karlis,Upenieks,F,Jelgava,Retail,2021-05-05,LV,2002-04-22,23,18-24
100056,Roberts,Abele,F,Ventspils,Retail,2019-10-24,LV,1957-06-27,68,65+
100057,Janis,Vilsons,F,Liepaja,Retail,2021-08-04,LV,1983-01-08,42,35-44
100058,Karlis,Sproge,F,Cesis,SME,2021-12-15,LV,1973-01-26,52,45-54
100059,Dace,Ozolins,F,Valmiera,SME,2020-10-03,LV,2001-06-13,24,18-24
100060,Aleksandrs,Liepa,F,Ogre,Retail,2025-03-04,LV,1953-05-03,72,65+
100061,Marta,Lacis,M,Liepaja,Retail,2015-11-22,LV,1987-04-19,38,35-44
100062,Kristaps,Lacis,M,Jelgava,Retail,2020-09-10,LV,1954-12-11,71,65+
100063,Anna,Vilsons,F,Daugavpils,Corporate,2016-02-14,LV,2001-04-21,24,18-24
100064,Dace,Kalnina,M,Ventspils,Corporate,2020-08-10,LV,1979-08-13,46,45-54
100065,Rihards,Lacis,F,Cesis,Retail,2016-08-10,LV,1992-11-15,33,25-34
100066,Aleksandrs,Kalejs,M,Ventspils,Retail,2024-06-29,LV,1963-03-09,62,55-64
100067,Kristaps,Ozolins,M,Liepaja,Retail,2021-07-30,LV,1965-03-08,60,55-64
100068,Kristaps,Kreicbergs,M,Ventspils,Retail,2019-11-01,LV,1999-12-18,26,25-34
100069,Elina,Vilsons,F,Daugavpils,Retail,2019-04-15,LV,1980-09-09,45,45-54
100070,Aleksandrs,Liepa,M,Liepaja,Retail,2025-04-03,LV,1968-12-19,57,55-64
100071,Janis,Kalnina,F,Cesis,Retail,2017-07-23,LV,1954-07-19,71,65+
100072,Ilze,Abele,M,Riga,Retail,2020-09-02,LV,1984-07-12,41,35-44
100073,Roberts,Upenieks,M,Valmiera,Retail,2016-05-21,LV,2004-04-05,21,18-24
100074,Rihards,Kreicbergs,M,Liepaja,SME,2024-11-30,LV,1948-09-16,77,65+
100075,Roberts,Krastins,M,Daugavpils,Retail,2017-05-28,LV,1940-02-25,85,65+
100076,Marta,Vilsons,M,Liepaja,Retail,2020-12-13,LV,1947-01-28,78,65+
100077,Marta,Kalejs,F,Liepaja,Retail,2020-04-11,LV,2002-02-05,23,18-24
100078,Roberts,Upenieks,F,Cesis,Retail,2021-09-01,LV,1950-11-06,75,65+
100079,Karlis,Kreicbergs,M,Liepaja,Retail,2017-03-12,LV,1947-11-14,78,65+
100080,Janis,Kalnina,M,Valmiera,Retail,2025-02-14,LV,1974-10-03,51,45-54
100081,Laura,Kreicbergs,M,Ventspils,Retail,2016-06-10,LV,1974-07-13,51,45-54
100082,Karlis,Ezerina,M,Cesis,Retail,2020-04-07,LV,1972-10-15,53,45-54
100083,Andris,Upenieks,F,Valmiera,Retail,2024-07-05,LV,1944-09-09,81,65+
100084,Karlis,Jansons,M,Cesis,Retail,2021-05-29,LV,1980-09-28,45,45-54
100085,Anna,Ezerina,F,Valmiera,Retail,2020-08-03,LV,1967-01-22,58,55-64
100086,Maija,Sproge,M,Daugavpils,Retail,2017-03-05,LV,1946-12-04,79,65+
100087,Ilze,Eglitis,F,Valmiera,Retail,2023-12-15,LV,1951-11-18,74,65+
100088,Anna,Abele,M,Jurmala,Retail,2016-08-03,LV,1973-05-25,52,45-54
100089,Elina,Lacis,M,Valmiera,Retail,2022-03-15,LV,1972-11-11,53,45-54
100090,Maija,Kalnina,F,Riga,Retail,2023-08-26,LV,1987-02-10,38,35-44
100091,Maija,Upenieks,M,Riga,Retail,2021-02-26,LV,1962-07-06,63,55-64
100092,Aleksandrs,Sproge,M,Ogre,Retail,2015-04-24,LV,2001-08-01,24,18-24
100093,Janis,Sproge,M,Jurmala,Retail,2021-03-03,LV,1976-12-24,49,45-54
100094,Janis,Krastins,F,Jurmala,Retail,2020-04-03,LV,1983-05-17,42,35-44
100095,Maija,Kreicbergs,M,Ventspils,Retail,2018-01-25,LV,1974-03-17,51,45-54
100096,Andris,Eglitis,M,Jurmala,SME,2018-08-23,LV,2004-02-28,21,18-24
100097,Karlis,Sproge,F,Ventspils,Retail,2020-10-24,LV,1986-11-10,39,35-44
100098,Aleksandrs,Eglitis,F,Ogre,Retail,2023-04-10,LV,1942-11-17,83,65+
100099,Ilze,Ezerina,F,Ogre,Retail,2018-04-08,LV,1940-10-07,85,65+
100100,Maija,Kreicbergs,M,Daugavpils,Retail,2018-11-08,LV,1944-03-12,81,65+
100101,Dace,Upenieks,M,Riga,Retail,2017-05-04,LV,1953-03-18,72,65+
100102,Marta,Ezerina,M,Valmiera,Retail,2017-08-20,LV,1966-09-01,59,55-64
100103,Marta,Kalejs,F,Valmiera,SME,2016-04-24,LV,1948-10-11,77,65+
100104,Anna,Jansons,M,Jelgava,Retail,2020-01-12,LV,1954-08-01,71,65+
100105,Elina,Sproge,M,Cesis,Retail,2016-09-20,LV,1981-02-12,44,35-44
100106,Liga,Ozolins,F,Daugavpils,Retail,2023-08-21,LV,1990-05-08,35,35-44
100107,Liga,Ezerina,F,Jelgava,Retail,2024-03-08,LV,2002-01-08,23,18-24
100108,Marta,Jansons,F,Jelgava,Retail,2023-12-16,LV,1991-10-03,34,25-34
100109,Laura,Kreicbergs,F,Liepaja,Retail,2015-08-23,LV,1943-02-24,82,65+
100110,Kristaps,Krastins,F,Liepaja,Retail,2020-09-23,LV,1962-08-27,63,55-64
100111,Anna,Abele,M,Jelgava,Retail,2017-03-25,LV,1954-02-25,71,65+
100112,Liga,Ozolins,F,Jurmala,SME,2025-02-28,LV,1982-09-25,43,35-44
100113,Marta,Kalnina,M,Cesis,SME,2021-05-29,LV,1968-03-05,57,55-64
100114,Elina,Lacis,M,Daugavpils,Retail,2017-08-16,LV,1975-11-16,50,45-54
100115,Liga,Krastins,F,Jelgava,Retail,2017-10-05,LV,1952-09-06,73,65+
100116,Karlis,Jansons,F,Valmiera,SME,2018-01-28,LV,1971-05-17,54,45-54
100117,Karlis,Kreicbergs,F,Cesis,SME,2017-10-25,LV,1998-10-14,27,25-34
100118,Janis,Jansons,M,Liepaja,Retail,2022-06-12,LV,1967-04-18,58,55-64
100119,Andris,Lacis,F,Valmiera,Retail,2015-09-29,LV,2005-12-23,20,18-24
100120,Janis,Sproge,F,Liepaja,Retail,2021-12-27,LV,1981-04-23,44,35-44
100121,Ilze,Krastins,F,Liepaja,Retail,2021-03-13,LV,1984-05-13,41,35-44
100122,Maija,Ezerina,F,Cesis,Corporate,2019-01-15,LV,2001-11-21,24,18-24
100123,Dace,Upenieks,F,Liepaja,Retail,2022-07-23,LV,1996-06-15,29,25-34
100124,Janis,Ozolins,M,Ogre,SME,2025-05-22,LV,1945-09-15,80,65+
100125,Rihards,Liepa,M,Riga,Retail,2019-11-06,LV,1967-02-08,58,55-64
100126,Liga,Vilsons,M,Ogre,Corporate,2022-08-21,LV,1967-04-03,58,55-64
100127,Laura,Jansons,F,Riga,Retail,2018-12-25,LV,1983-06-01,42,35-44
100128,Aleksandrs,Lacis,F,Liepaja,Retail,2024-02-01,LV,1969-10-18,56,55-64
100129,Marta,Kalnina,F,Daugavpils,Retail,2019-01-26,LV,2001-04-19,24,18-24
100130,Aleksandrs,Kalnina,M,Daugavpils,Retail,2020-04-06,LV,2001-04-01,24,18-24
100131,Rihards,Berzins,F,Riga,Retail,2022-12-24,LV,1940-02-23,85,65+
100132,Elina,Krastins,F,Valmiera,Corporate,2018-04-20,LV,1966-11-02,59,55-64
100133,Janis,Jansons,F,Cesis,Retail,2021-04-04,LV,2001-04-03,24,18-24
100134,Dace,Vilsons,M,Liepaja,SME,2024-09-14,LV,1942-01-28,83,65+
100135,Elina,Kalejs,F,Cesis,SME,2022-06-30,LV,1966-06-03,59,55-64
100136,Kristaps,Lacis,M,Ogre,Retail,2022-11-08,LV,1948-09-08,77,65+
100137,Kristaps,Sproge,F,Daugavpils,Retail,2019-10-17,LV,2001-05-22,24,18-24
100138,Aleksandrs,Eglitis,M,Jurmala,Retail,2021-06-30,LV,1976-08-07,49,45-54
100139,Maija,Ezerina,M,Ogre,Retail,2023-07-22,LV,1990-09-05,35,35-44
100140,Anna,Upenieks,M,Ogre,Retail,2023-12-22,LV,1983-12-19,42,35-44
100141,Maija,Vilsons,F,Riga,Retail,2022-02-14,LV,1963-10-16,62,55-64
100142,Liga,Eglitis,F,Ventspils,Retail,2017-10-03,LV,1998-04-26,27,25-34
100143,Rihards,Krastins,M,Ogre,Retail,2018-05-25,LV,1971-08-26,54,45-54
100144,Karlis,Ezerina,M,Liepaja,Retail,2025-04-15,LV,1991-07-07,34,25-34
100145,Ilze,Eglitis,F,Jelgava,Retail,2017-05-09,LV,2001-02-04,24,18-24
100146,Maija,Ezerina,F,Jelgava,Corporate,2019-04-03,LV,1997-11-14,28,25-34
100147,Andris,Liepa,M,Liepaja,Retail,2015-11-21,LV,1991-06-14,34,25-34
100148,Ilze,Berzins,F,Ventspils,SME,2023-03-06,LV,1951-07-15,74,65+
100149,Rihards,Vilsons,F,Ventspils,Retail,2021-04-25,LV,1978-12-02,47,45-54
100150,Ilze,Krastins,F,Riga,Retail,2024-06-07,LV,1941-11-21,84,65+
100151,Dace,Vilsons,F,Daugavpils,Retail,2016-09-29,LV,1942-11-04,83,65+
100152,Janis,Liepa,M,Cesis,Retail,2023-10-11,LV,1995-01-13,30,25-34
100153,Dace,Jansons,F,Ventspils,Retail,2017-02-13,LV,1998-12-11,27,25-34
100154,Ilze,Jansons,F,Jurmala,Retail,2019-11-07,LV,1941-02-08,84,65+
100155,Elina,Jansons,M,Riga,Retail,2016-06-05,LV,1941-04-07,84,65+
100156,Kristaps,Abele,M,Valmiera,Retail,2017-09-23,LV,1993-09-15,32,25-34
100157,Ilze,Eglitis,F,Riga,Retail,2019-08-23,LV,1940-03-14,85,65+
100158,Dace,Abele,F,Ogre,Retail,2022-08-23,LV,1958-03-09,67,65+
100159,Laura,Berzins,F,Cesis,Retail,2023-09-25,LV,1941-08-08,84,65+
100160,Rihards,Upenieks,F,Valmiera,Retail,2017-07-04,LV,1992-02-15,33,25-34
100161,Elina,Liepa,M,Valmiera,Retail,2022-06-11,LV,1983-09-04,42,35-44
100162,Dace,Krastins,M,Jurmala,Retail,2016-07-23,LV,1971-01-21,54,45-54
100163,Maija,Vilsons,M,Jurmala,Retail,2018-10-11,LV,1971-09-27,54,45-54
100164,Marta,Ezerina,F,Jurmala,SME,2022-09-04,LV,1994-01-03,31,25-34
100165,Aleksandrs,Sproge,F,Riga,Retail,2020-12-12,LV,1995-04-06,30,25-34
100166,Anna,Krastins,F,Cesis,Retail,2015-06-15,LV,1956-07-16,69,65+
100167,Karlis,Eglitis,F,Riga,Retail,2022-01-22,LV,1977-08-07,48,45-54
100168,Dace,Abele,M,Jelgava,Retail,2015-11-27,LV,1963-07-02,62,55-64
100169,Andris,Abele,M,Ogre,Retail,2021-09-29,LV,1950-03-13,75,65+
100170,Anna,Kreicbergs,F,Ogre,Retail,2023-07-17,LV,1955-01-13,70,65+
100171,Rihards,Abele,M,Jurmala,Retail,2021-05-12,LV,1998-05-26,27,25-34
100172,Laura,Upenieks,F,Jelgava,Retail,2019-01-05,LV,1942-08-10,83,65+
100173,Roberts,Kalejs,F,Ventspils,Retail,2021-07-27,LV,1959-07-23,66,65+
100174,Dace,Vilsons,M,Ventspils,Retail,2016-05-22,LV,1998-12-26,27,25-34
100175,Marta,Kalejs,F,Jurmala,Retail,2021-05-18,LV,1975-09-22,50,45-54
100176,Anna,Ezerina,F,Riga,Retail,2018-10-27,LV,1958-12-16,67,65+
100177,Karlis,Vilsons,M,Jurmala,Retail,2015-06-25,LV,2006-03-07,19,18-24
100178,Ilze,Liepa,F,Daugavpils,Retail,2020-06-03,LV,1958-05-07,67,65+
100179,Dace,Vilsons,F,Valmiera,Retail,2016-09-07,LV,1959-01-19,66,65+
100180,Janis,Kalejs,M,Ogre,Retail,2020-09-14,LV,1991-12-18,34,25-34
100181,Laura,Krastins,F,Ventspils,Retail,2017-06-26,LV,1972-01-24,53,45-54
100182,Rihards,Vilsons,M,Liepaja,Retail,2017-05-05,LV,1979-06-02,46,45-54
100183,Aleksandrs,Liepa,F,Ventspils,Retail,2015-08-27,LV,1978-01-19,47,45-54
100184,Marta,Liepa,M,Ogre,Retail,2019-11-18,LV,1940-08-17,85,65+
100185,Liga,Berzins,M,Valmiera,Retail,2023-01-14,LV,1950-09-06,75,65+
100186,Liga,Vilsons,M,Ogre,Retail,2017-05-12,LV,1996-01-17,29,25-34
100187,Andris,Sproge,F,Liepaja,Retail,2022-12-24,LV,1989-02-28,36,35-44
100188,Anna,Kreicbergs,M,Jurmala,Retail,2022-08-19,LV,1962-03-03,63,55-64
100189,Marta,Jansons,M,Jelgava,SME,2025-06-20,LV,1970-10-03,55,55-64
100190,Elina,Kalnina,M,Liepaja,Retail,2015-02-02,LV,1981-11-28,44,35-44
100191,Karlis,Liepa,M,Ogre,Retail,2016-05-07,LV,1946-04-13,79,65+
100192,Aleksandrs,Ozolins,M,Ogre,Retail,2015-04-29,LV,1955-02-19,70,65+
100193,Ilze,Jansons,F,Daugavpils,Corporate,2019-05-10,LV,1999-04-19,26,25-34
100194,Dace,Upenieks,F,Daugavpils,SME,2018-09-02,LV,1941-10-02,84,65+
100195,Dace,Eglitis,F,Cesis,Retail,2017-07-18,LV,1940-10-03,85,65+
100196,Liga,Vilsons,F,Daugavpils,Retail,2024-05-03,LV,1987-07-22,38,35-44
100197,Dace,Kalejs,F,Riga,Retail,2025-05-11,LV,1951-10-19,74,65+
100198,Rihards,Kalnina,F,Jelgava,Retail,2023-12-24,LV,1976-09-11,49,45-54
100199,Aleksandrs,Ozolins,F,Valmiera,Retail,2022-03-15,LV,1971-05-07,54,45-54
100200,Janis,Jansons,M,Liepaja,Retail,2016-11-21,LV,1948-11-23,77,65+
100201,Roberts,Vilsons,F,Ogre,Retail,2019-11-26,LV,1958-06-08,67,65+
100202,Andris,Berzins,M,Cesis,Retail,2019-01-16,LV,1987-05-13,38,35-44
100203,Kristaps,Eglitis,M,Cesis,SME,2020-02-15,LV,1942-03-22,83,65+
100204,Maija,Kalnina,F,Valmiera,Retail,2017-01-27,LV,1959-11-10,66,65+
100205,Andris,Kreicbergs,M,Jelgava,Retail,2015-10-24,LV,1963-08-11,62,55-64
100206,Anna,Ezerina,M,Liepaja,Retail,2019-01-21,LV,1993-02-01,32,25-34
100207,Janis,Berzins,M,Ventspils,Retail,2022-02-21,LV,1972-08-20,53,45-54
100208,Andris,Ozolins,M,Daugavpils,Retail,2022-10-11,LV,1963-10-04,62,55-64
100209,Ilze,Upenieks,F,Jurmala,Retail,2016-01-26,LV,1975-02-18,50,45-54
100210,Liga,Kalnina,F,Cesis,SME,2016-11-19,LV,1977-04-17,48,45-54
100211,Laura,Berzins,F,Daugavpils,Retail,2023-07-03,LV,1964-05-05,61,55-64
100212,Anna,Eglitis,F,Daugavpils,Retail,2025-02-25,LV,1957-06-03,68,65+
100213,Dace,Kreicbergs,F,Riga,Retail,2024-02-13,LV,2005-04-12,20,18-24
100214,Marta,Berzins,F,Jelgava,Retail,2015-04-13,LV,1993-05-06,32,25-34
100215,Ilze,Abele,F,Jurmala,Retail,2023-10-08,LV,1974-08-27,51,45-54
100216,Anna,Kreicbergs,F,Ventspils,Retail,2024-10-13,LV,2000-09-23,25,25-34
100217,Laura,Ezerina,F,Ogre,Retail,2019-02-12,LV,1980-05-20,45,45-54
100218,Karlis,Ozolins,F,Riga,Retail,2017-06-11,LV,1972-11-17,53,45-54
100219,Dace,Upenieks,M,Daugavpils,Retail,2019-12-15,LV,1972-01-22,53,45-54
100220,Andris,Eglitis,F,Daugavpils,Retail,2022-04-21,LV,1953-09-10,72,65+
100221,Andris,Sproge,M,Jurmala,Retail,2015-01-10,LV,1960-11-04,65,65+
100222,Anna,Vilsons,M,Jurmala,Retail,2025-06-17,LV,1987-03-09,38,35-44
100223,Marta,Kalejs,M,Jurmala,Retail,2021-01-01,LV,1959-02-04,66,65+
100224,Karlis,Lacis,M,Daugavpils,Retail,2019-02-03,LV,1947-12-18,78,65+
100225,Dace,Krastins,F,Cesis,Retail,2024-09-15,LV,1946-03-09,79,65+
100226,Laura,Krastins,M,Liepaja,Retail,2022-02-01,LV,2006-05-20,19,18-24
100227,Roberts,Kalejs,F,Daugavpils,Retail,2018-03-09,LV,1956-04-23,69,65+
100228,Andris,Lacis,F,Riga,SME,2016-06-15,LV,1972-06-07,53,45-54
100229,Laura,Kalejs,M,Jelgava,SME,2023-11-27,LV,1987-11-21,38,35-44
100230,Janis,Kalnina,F,Ventspils,Retail,2021-02-18,LV,1998-05-17,27,25-34
100231,Andris,Ozolins,M,Ogre,Retail,2016-02-25,LV,1961-08-09,64,55-64
100232,Laura,Eglitis,M,Ventspils,Retail,2023-12-13,LV,1969-01-03,56,55-64
100233,Elina,Kreicbergs,F,Daugavpils,Retail,2024-04-03,LV,1977-11-14,48,45-54
100234,Liga,Kalnina,F,Riga,Retail,2023-08-19,LV,1990-05-02,35,35-44
100235,Maija,Ozolins,M,Daugavpils,Retail,2023-08-21,LV,1993-01-11,32,25-34
100236,Aleksandrs,Vilsons,F,Jelgava,Retail,2024-06-05,LV,1947-03-21,78,65+
100237,Liga,Abele,F,Cesis,Retail,2015-05-07,LV,1966-05-06,59,55-64
100238,Rihards,Krastins,F,Ogre,Retail,2021-08-23,LV,1966-12-15,59,55-64
100239,Maija,Eglitis,M,Jelgava,Retail,2022-12-31,LV,1960-09-23,65,65+
100240,Ilze,Kalejs,M,Daugavpils,Retail,2015-09-28,LV,1969-07-18,56,55-64
100241,Laura,Berzins,F,Riga,Retail,2021-07-31,LV,1967-01-04,58,55-64
100242,Maija,Sproge,F,Jelgava,Retail,2021-05-08,LV,2003-02-23,22,18-24
100243,Rihards,Eglitis,F,Valmiera,SME,2019-04-26,LV,2000-03-18,25,25-34
100244,Dace,Liepa,F,Riga,Retail,2015-04-11,LV,1987-01-27,38,35-44
100245,Roberts,Upenieks,F,Cesis,Retail,2021-01-27,LV,1958-06-19,67,65+
100246,Elina,Lacis,M,Daugavpils,Retail,2016-02-24,LV,1943-09-05,82,65+
100247,Janis,Ozolins,F,Jurmala,SME,2020-11-12,LV,1974-07-05,51,45-54
100248,Laura,Jansons,M,Ogre,Retail,2019-02-07,LV,2003-01-10,22,18-24
100249,Janis,Vilsons,F,Liepaja,Retail,2016-10-06,LV,1988-06-26,37,35-44
100250,Marta,Abele,M,Jurmala,Retail,2024-11-24,LV,1956-01-12,69,65+
100251,Andris,Vilsons,F,Daugavpils,Retail,2020-08-28,LV,1983-04-22,42,35-44
100252,Laura,Eglitis,M,Valmiera,Retail,2017-04-08,LV,1969-04-22,56,55-64
100253,Aleksandrs,Krastins,F,Jurmala,Retail,2015-10-03,LV,1985-02-12,40,35-44
100254,Laura,Lacis,M,Ogre,Retail,2020-12-29,LV,1945-09-28,80,65+
100255,Anna,Jansons,M,Riga,Retail,2024-04-15,LV,1976-07-20,49,45-54
100256,Roberts,Liepa,M,Valmiera,SME,2020-10-04,LV,1963-12-05,62,55-64
100257,Anna,Kreicbergs,M,Valmiera,Retail,2017-12-23,LV,1985-04-28,40,35-44
100258,Laura,Berzins,M,Jelgava,Retail,2022-11-27,LV,1992-03-26,33,25-34
100259,Elina,Jansons,M,Ogre,Retail,2023-02-21,LV,1999-03-14,26,25-34
100260,Maija,Ozolins,F,Jurmala,Retail,2018-02-06,LV,2002-01-06,23,18-24
100261,Janis,Kalejs,M,Jelgava,SME,2017-04-17,LV,1971-12-11,54,45-54
100262,Elina,Liepa,F,Valmiera,Retail,2016-01-28,LV,1972-07-26,53,45-54
100263,Laura,Berzins,F,Jelgava,Retail,2022-10-14,LV,2006-11-28,19,18-24
100264,Rihards,Sproge,F,Ventspils,Retail,2015-08-18,LV,1957-12-26,68,65+
100265,Maija,Abele,F,Ogre,Retail,2019-12-29,LV,1964-04-09,61,55-64
100266,Rihards,Kalejs,F,Cesis,Retail,2018-06-06,LV,1993-03-26,32,25-34
100267,Janis,Eglitis,M,Riga,Retail,2015-09-30,LV,1997-12-04,28,25-34
100268,Maija,Jansons,M,Valmiera,Retail,2018-05-24,LV,2006-07-28,19,18-24
100269,Aleksandrs,Krastins,M,Ogre,Corporate,2015-09-18,LV,1985-01-28,40,35-44
100270,Roberts,Berzins,F,Cesis,Retail,2020-05-15,LV,1963-08-08,62,55-64
100271,Liga,Upenieks,M,Cesis,Retail,2020-04-10,LV,1971-04-27,54,45-54
100272,Karlis,Kalnina,M,Daugavpils,Retail,2023-10-08,LV,1986-08-12,39,35-44
100273,Ilze,Upenieks,M,Jelgava,Retail,2021-10-10,LV,1962-05-27,63,55-64
100274,Elina,Kreicbergs,M,Cesis,Retail,2024-03-28,LV,2005-04-08,20,18-24
100275,Andris,Upenieks,M,Ventspils,Retail,2023-01-20,LV,1966-01-22,59,55-64
100276,Elina,Sproge,F,Ogre,Retail,2019-04-24,LV,1941-04-13,84,65+
100277,Karlis,Kreicbergs,M,Liepaja,Retail,2015-08-16,LV,1956-06-09,69,65+
100278,Liga,Liepa,F,Liepaja,Retail,2018-04-02,LV,1972-02-25,53,45-54
100279,Kristaps,Abele,F,Valmiera,SME,2019-11-13,LV,1948-05-12,77,65+
100280,Dace,Liepa,F,Jelgava,Retail,2021-01-27,LV,1982-11-17,43,35-44
100281,Aleksandrs,Kalnina,F,Cesis,Retail,2015-10-25,LV,1987-07-22,38,35-44
100282,Rihards,Ozolins,F,Ogre,Retail,2020-08-24,LV,1978-09-11,47,45-54
100283,Laura,Abele,M,Valmiera,Retail,2019-08-25,LV,1981-01-04,44,35-44
100284,Aleksandrs,Upenieks,M,Jurmala,Retail,2017-02-12,LV,1965-05-06,60,55-64
100285,Karlis,Krastins,M,Cesis,Retail,2021-04-05,LV,1989-10-09,36,35-44
100286,Laura,Vilsons,F,Jelgava,Retail,2022-06-08,LV,1964-01-04,61,55-64
100287,Andris,Ozolins,M,Liepaja,Retail,2021-10-21,LV,1963-10-14,62,55-64
100288,Anna,Abele,M,Daugavpils,Retail,2022-06-25,LV,1952-06-24,73,65+
100289,Maija,Abele,F,Ogre,Retail,2021-07-30,LV,1999-06-14,26,25-34
100290,Dace,Kalnina,F,Riga,Retail,2020-10-07,LV,1946-10-17,79,65+
100291,Roberts,Eglitis,F,Valmiera,Retail,2018-03-06,LV,1996-02-13,29,25-34
